comment,author,num_likes,rate
"감독,연출가,대본 쓴사람,배우들이 미쳐야만 나올수 있는 미친 작품",hh h,5,2.7335500717163086
90분이 900분같은 개같은 영홬ㅋㅋㅋㅋㅋㅋㅋㅋ,lem mono,3,2.1304280757904053
돈이 없어서 술은 외상하고 치킨은 사간대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,댓글만 따라해서 구독자 1200명 얻기,3,3.5919265747070312
"ㅠㅠ 애는  무슨죄야.,  커서 연예인이 되면 이 영화가 흑역사가 되어 따라 다닐텐데..,ㅠㅠ",용반,8,1.7360115051269531
진짜 내가 본 영화 소개 영상중에 제일 웃겨요ㅋㅋㅋㅋㅋㅋ 볼때마다 웃겨서 우울할때마다 들어와서 봄ㅋㅋㅋㅋㅋㅋ 볼때마다 육성으로 웃고 갑니다ㅋㅋㅋㅋㅋㅋ,박재우,3,10.362404823303223
쓰러져 뒤져가는 아빠한테 빨리 일어나 싸우라는 사랑이의 인성,Io jupiter,9,7.976893901824951
이 영화 감독은 노벨상을 받아야 합니다. 자동적으로 암이 없어지는 말도안되는 과학기술을 가진 영화 감독이거든요 여러분들은 이걸 꼭보시길 바라겠습니다,김지영,9,3.453699827194214
ㅋㅋㅋㅋㅋ 바지를 혼자 못벗으면 남자가 아니랰ㅋㅋㅋㅋㅋㅋㅋㅋ 아니 근데 이거 저만 웃긴가요? 풀영상을 안봐서 그런건지 보는 내내 웃기만 했는뎈ㅋㅋㅋㅋㅋ,보라돌이,13,5.785304546356201
지무비 편집끝판대장ㅋㅋㅋㅋ,오네뜨ᅳAcross,3,5.66984224319458
개웃기네 진짴ㅋㅋㄱㅋㅋㄱㅋㅋㅋㅋㄱㄱㅋㄱ,퐌타,4,6.418844223022461
빠밍아웃ㅋㅋㅋㅋ 엄밍아웃ㅋㅋ 방심하다 터졌넼ㅋㅋㅋㅋ,Channi Park,5,0.8218242526054382
이영화 끝까지 봤더니 내인생이 재밌다  진짜...형은...아무리 망작이라도 내가 형이리뷰해서 본다...,뼈해장국,25,2.295311212539673
외국 똥퀄 영화중에 the room 이란 유명한거 있는데 그거 리뷰 해주세요ㅋㅋㅋ,Riptide Anaklusmos,3,6.64324426651001
영화 요약: 갔다올게!,ᄋᄋ,3,4.000391483306885
항마력이 딸려서 도저히 중반이후로는 못보겠다.. 형 너무 고생했어..  다음에도 병맛리뷰 부탁해~~~,조승훈,12,6.0689849853515625
난다! 이 영화는 이건 고작 전설급이 아니야 이건 신화의 영역에 근접해 있어 바보같은,생쥐,3,7.874824523925781
저기서가장많이나온말:갔다올게,호박이다,3,7.433493137359619
영화계 3대 명언 아빠 일어나 아빠 일어나 아빠 일어나,Shang Disua,584,7.136035442352295
동전은 진짜 혐오 그 자체다ㅋㅋ,김태희,30,3.401803970336914
이 영화 친구가 명작이래서 봣는데 그 친구 한테 손해배상해도 되나요?,yz x,111,1.1975483894348145
머그래도 올드보이랑 매트릭스는 다른영화에 비해서 마니 성공했자ㄴ... 에잇 못살리겠다 퉤퉤퉤,노딱,3,3.365216016769409
시bakㅋㅋㅋㅋ 인터스텔라 브금 개잘맞네 ㅋㅋ,th king,3,7.671148300170898
이 영화를 간추려보면 갔다올게👋    ㅡ끝ㅡ,"달루나[체리,메리]",4,4.169987201690674
"영화계엔 BC와 AC가 있다. Before Clementain, After Clementain...",애국청년 김찬호,156,4.477793216705322
아니 이형 말투가 더웃겨ㅋㅋㅋㅋㅋ,김병훈,3,5.686902046203613
꾹 참고 버텼으나 리뷰조차6분이 한계였다..,되든돈,3,1.7608639001846313
인생은 B와 D 사이의 Clementine이라는 댓글 존나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,인생,63,7.550568103790283
1990년도영화였으면 명작이였겠지?,포로좋아,4,8.419054985046387
아니 시발 광고가 항암부작용집중치료라 존나터졌네 아니 미쳤나 아ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,승철이모자,13,8.513213157653809
아니 시걸 형님은 대체 무슨 생각으로 출연한거지?ㅋㅋㅋ 그냥 출연료 맞으니까 작품안따지고 한건가?,서정민,204,2.5206921100616455
중간중간 가따올게~하는거 ㅈㄴ웃기넼ㅋㅌㅌㅌㅌ,J_This,40,4.412472248077393
와 인터스텔라 브금 까니까 존나 띵작같아 ㅋㅋㅋㅋ,그건반칙인데,1536,5.489352703094482
인터스텔라 배경음 줫나 잘어울린닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,안녕,347,4.398121356964111
사랑이의 이빨이 초반엔 있고 중간엔 없고 나중엔 생겨나는 영화,제트블럭,97,7.161195278167725
와 이걸 만들었다는건 이 대작영화를 꼼꼼히 다 봤다는 소린데....,Frederick Savoie,6,6.754256725311279
52억을 날린.............그럴만하네....,엘리사 구독해주세요,3,4.153807163238525
편의점 알바생으로서 마지막 사랑이 인성에 화가납니다..,래기의촉촉한초코칩,4,5.891219615936279
why are we still here just to suffer,개미,12,-1.0
아빠가 치킨사갈께 무슨 치킨이냐면 뻑 치킨이다 씨바새꺄 ㅋㅋㅋㅋ,K M,3,4.9325666427612305
갔다올게~~!! 줫나웃기네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,꿀꽈배기,3,6.6621012687683105
아니 리뷰만 봐도 역겨운데 이걸 돈보고 보신분은 대체...,늑냥이,44,2.439286708831787
영상 잘 봤습니다. 진짜 모르시고 하신건지 아니면 그냥 웃자고 하신건지 잘 모르겠습니다만 클레멘타인에서 동준이형에게 지하격투장 일 제의하는 조폭보스역 배우는 임하룡씨가 아니라 기주봉씨입니다.,Dongjun Kim,8,4.065932750701904
아무리 망작이라도 왠만하면 리뷰정도는 볼만한데............먼저 GG 칩니다.............ㅋ,나라김,5,2.7944765090942383
똑같은 배우들과 똑같은 스토리를 가지고 크리스토퍼 놀란이 이 영화를 만들었다면 결과는 달라졌을까.....??,v호랑이형님,17,7.656698703765869
돈이 없어서 술은 외상하고 치킨은 사간대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,탑버블,1297,3.5919265747070312
시걸은 심지어 지는 장면도 안 나옴. 아무래도 자기가 무명배우에게 얻어맞고 지는 장면까지 나오면 배우이미지에 손상이 가니 그런장면을 빼라고 했을듯,MP28,5,2.8002357482910156
매일 아침 일어나서 기지개 한번 쫙펴고 클레멘타인 평점 댓글보면서 하루를 시작합니다..,최창훈,14,2.233422040939331
영화 제작진이랑 감독이랑 배우들이 찍다가 현타 왔을듯 ㅋㅋㅋ,john wick,258,2.3076651096343994
클레멘타인은 단세글자로 요약된다 “갑자기?”,안제원,3,1.74838125705719
음? 암세포가 그영화보고 감명받아서 더이상에 세포분열을 갈망하는 마음이 사라져서 세포분열을 그만두고 암이 사라진다는 그영화!,ᄏᄏᄏᄏᄏᄏ,4,1.1262413263320923
갔다올겤ㅋㅋㅋㅋㅋ몇번이나 나오는곀ㅋㅋㅋㅋㅋ개웃기네,hungry still,4,7.537090301513672
사랑이 중간부터 앞니 사라짐ㅋㅋㅋ,부멍이,8,6.2353901863098145
ㅋㅋㅋㅋ 진짜 도중 도중 들어가는 웃기는 킬링 포인트 너무 재미있게 보고 있어요. ㅋㅋㅋㅋ,유지서,6,7.44432258605957
이 영화를 보고 키가 20cm 자랐습니다.,dodo kim,3,6.222872734069824
여러 영화들을 거르며 대작이라는 평가만 받는 영화만 골라보던 제가 이 영화를 보고 대작과망작의 차이없이 모든 영화들을 사랑하게 되었습니다.,NEO TATA,74,7.683625221252441
암세포가 암걸려서 디졌뎈ㅋㅋㅋㅋㅋㅋㅋ,s a,3,1.4877073764801025
시대를 앞서다 못해 차원을 돌파해버린 전설의 명작,서도영,10,8.345772743225098
훌륭하십니다,NATAE 나태,676,8.486268997192383
이 명작을 전국 극장 재개봉 국민청원을 원합니다...,타면수,150,9.876470565795898
영화는 몰라도 이 리뷰는 겁나웃기네ㅋㅋㅋ갔다올게ㅋㅋㅋㅋ,TV꼬질,4,8.1383695602417
성냥팔이는 하셨더군요. 이제 &#39;리얼&#39; 부탁드려요.,KIM Jin,1270,2.373258590698242
영화자체는 암덩인데 영화리뷰는 개잼있네ㅋㅋㅋ 가따올께  개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,미드나인,500,3.1222498416900635
클레멘타인 네이버평점 9.34 다음평점 9.1  전설의 작품 ㄷㄷ,kdjsky320,6,1.078513503074646
미친척하고 저거 풀타임 조져보고 오겠습니다. 만약 이 뒤로 제가 이 글에 답을 다시 달지 않는다면 보다가 뒤진줄 알고 이글을 제 지인들에게 전해주세요,imo ji,3,4.751949787139893
아 잘참았는데 셀프 패드립에서 뿜었닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Cora Son,3,8.3914155960083
이 영화를 보기전의 나:  보고난 후의 나:s....t......a...y.....!!!!!!!!,전세준,40,5.535441875457764
