comment,author,num_likes,rate
진짜 현실적으로 저렇게 어린(?) 여자가 아버지뻘되는 남자를 순수(??????)하게 좋아하게 된다는거 자체가 말이 되냐구요 ㅡㅡ 뭐 그런 여자가 아예 없지는 않겠지만,lem mono,4,6.704840660095215
애초에 가영이란 캐릭터 자체가 딱 4~50대들이 꿈꾸는 못생기고 뭣도 없는 자신을 아무이유없이 사랑해주는 약간의 백치끼가 있는 여자아이지 몸은 감옥가기 싫으니 아슬아슬한 성인여자지만 속내는 어린아이여야함 왜냐? 제대로된 머리통이 있는 여자가 못생긴 아저씨를 사랑하는건 지들 생각에도 불가능하거든 이영화에 나오는 어린여자들은 죄다 백치에다 사랑에 눈먼것처럼 나오는게 그 이유임  자신을 가꿀 생각도 없고 못생기고 냄새나는 주제에 자기연민에 가득차서 뭣도모르는 어린여자들이 자기를 사랑해주기만을 바라는 개저감성은 감독 얼굴 한번 보고싶게 만들 정도로 역겹다  그리고 중간에 좀 리뷰가 새는느낌인데 가영의 사랑이 정상이 아닌건 맞아요 20대 여자를 어린아이처럼 그린다는거엔 동감하지만 40살을 향한 20의 사랑이 성인이 충분히 생각하고 결정한것이니 성숙한 선택으로 그려야 한다는건 아니라고 봅니다  어림과 성숙함 이전에 그 사랑 자체가 아재들의 유해한 판타지니까요 그 제정신이 아닌 사랑을 개저상상 버무려서 토나오게 연출까지 하니 문제가 심각해지는거지,ri se,85,4.6244611740112305
"리뷰어의 말은 충분히 20살이 자신의 아버지뻘도 사랑할 수있다. 그러나 이 영화는 그런 사랑에 대해 존중이 없고 단지 치기어린 행동으로만 그리고 있다. 영화에서 그 사랑에 대한 어른들의 행동과 발언은 20살 성인을 애 다루듯이 하면서  20살짜리로 설정된 인물의 엉덩이를 클로즈업하는 장면에서 성적인 부분을 강조하는 모순을 저지르고있다. 그리고 이 갈등을 여주인공이 도피유학을 떠나는것으로 극을 전개하는 핵심인물의 퇴장으로 갈등의 해소를 스킵해버린다. 또한 아버지와 아들의 갈등 역시도 설득력이 굉장히 부족하며, 여기에 가족애와 신파라는 쌍팔년도 연출을 가미하며 리얼못지 않은 영화를 만들었다 이것이네요.",우욱,3,3.9113357067108154
우리나라 감독님들(극히일부제외)  도대체 여성관이 다 왜 이모양입니까?....60년대에 멈춰있는거같아요  제발 공부라도하던가 진짜 더러워서 못보겠어요,334 O,377,2.896721363067627
사람마다 영화를 보는 관점은 다른데 리뷰하시는 분은 꼰대들을 욕하시면서 꼰대처럼 무조건 이영화는 졸작이다 망작이다 라고 설명하시네요. 전 이영화를 재밌게 본 입장으로서 마치 제 영화보는 눈이 형편없고 꼰대처럼 답이 없다는 걸로 밖에 인식 할 수 없습니다. 그리고 이 영화에서 보여지는 20대의 여성이 사랑은 사회의 악이다 라고도 설명하셨는데 다른 관점으로 보면 꼰대사상도 사회의 악이라고 설명하시는 것 같습니다. 꼰대는 사회의 악인가요? 아니면 사상이나 개념이 다른 하나의 사람인가요?,돌발이,7,7.857713222503662
늙은이들 판타지 영화,농,55,2.7770087718963623
"아들 여자 사람친구와의 로맨스?  입장 바꿔 생각해봐라.  친구 엄마와의 로맨스 생각해봐라.  나는 라이너님의 &#39;남성적 로맨스&#39;가 이 의미라고 생각한다.  나는 남자지만 무슨 성인av도 아니고 이게 가족  영화라는 타이틀 달고 왔다니  제 정신이냐ㅡㅡ,; 정말 역겹다",별둘리,238,1.4437954425811768
이 리뷰어는 뭘 말하고 싶은겁니까 나이차 나는 사랑을 남성판타지라고 까면서 정작 그걸 반대하면 꼰대라고 까고 님 기준에 꼰대 아닌 영화 없고 망작 영화 아닌게 어디있나요 나의아저씨 비난 하는 평론가들 처럼 하나만 하세요,gura jjang,33,5.887955188751221
완전 편향적이네요 나이차 많다고 결혼 반대한다면 그것도 꼰대 부모인가요 그리고 성적매력? 그거 한장면 가져다가 성적대상화 이난리 ㅋ 자기 논리에 맞추려고 억지 부리는 경향이 좀 심하네요 이분은,noma roman,14,5.474852561950684
대부분 공감하지만 일정부분 반대하기도 합니다 &#39;어린 여자가 나이많은 사람을 사랑하는것을 남성 판타지라 비판받아야 한다&#39;고 하셨으면서 뒤에 그러나 그럴 수있고 현실에서도 그런 일이 있다 하셨는데 그럼 현실에 일도 비판받아야하나요? 애초에 그것이 현실에 존재함에도 그것을 남성판타지라고 하면 비판 하는 것은 좀 이해하기 어렵네요 다른 부분에선 전적으로 동의합니다,야부리,6,7.182296276092529
