comment,author,num_likes,rate
Everything about this movie is  LOVE,JSujit Chaudhary,4,-1.0
나무에매달렸을때숙희가손놓는거개웃김 ㅋㅋㅋㅋ,싱숭생숭,4,6.798330783843994
와아 진짜 재밌다 이런시도를하다니,뮤즈,5,7.493015766143799
아가씨 무서운 영화 인줄 알았는데 아니었네,purple _rose,13,6.226055145263672
난 정신병원에 가두면서 영화가 끝나는줄 알았다 지금까지 ㅎ,고냥이,12,5.62703275680542
요즘 아가씨에 빠져서 영화 리뷰를 열개는 넘게 찾아본 것 같은데 가장 깔끔하고 이해 잘 되게 만드신것같아요! 영화 안 본 사람도 이 영상만으로 이해가 될 것 같네요. 몰랐던 부분들도 알게 되어서 영화 한번 더 정주행 해야겠습니다,박씨,3,8.720992088317871
진짜 배우들 몸인가,덕딩유리,6,5.307884693145752
아가씨 목매다는거 진짜같은데..,노선희,6,7.382547378540039
반전에반전영화였네요,해맑은인성,6,7.9966044425964355
이쁘다,스영,9,7.928794860839844
아가씨가 이런 내용이였구나 재밌네,엉읭,121,7.87165641784668
완전 반전에 반전이네,미영이,166,8.090517044067383
Mantap...,Damenta Ginting,8,-1.0
영화 장면들 위주로 설명도 적절한 타이밍에 깔끔하고 간결하게 들어가고..한 편의 영화를 순식간에 몰입감있게 본 느낌이네요. 구독/좋아요 누르고 갑니다^^,Anonymous,16,8.914774894714355
이 영화는 재탕 할때마다 새로운 발견을 하게되서 재미가 있음,단호박,168,7.477228164672852
재밌다 이런 내용이었구나,으흥,130,7.982509613037109
리뷰설명 깔끔하시네요. 감사히 잘봤어요~~,이경민,32,7.059070587158203
