comment,author,num_likes,rate
"클레멘타인, 성냥팔이 소녀의 재림 등등 이하생략",라뎃사랑,3,1.6635020971298218
"방금 영화 보고 왔는데 제 견해와 다르게 너무 평들이 단편적이고 안좋아서 이 영화가 조금 더 심도 있는 평가를 받았으면 하는 마음에 제 나름의 해석을 남깁니다  [어디까지나 제 견해 입니다]  &lt;줄거리 해석?&gt;  스토리 진행이 너무 정신없고 난잡하기에 감독이 명확하게 알려준 실제 줄거리도 이해하지 못하고 잘못된 스토리로 이해하고 가는 분들이 많은 것 같습니다  일단 식물인간에서 다시 태어난 르포(장태영)는 공상과학영화처럼 장태영의 르포 인격이 빙의 하는것 마냥 실제로 이동 한게 아닙니다  후반부에 보리스(정신과 의사)가 식물인간에게 주술을 읽듯히 장태영 스토리를 마약과 같이 주입시키는 장면이 나옵니다  이로 추측해 볼 수 있는건 애초에 챕터 원에서의  장태영이 식물인간을 찾아갔다는 설정은 진짜일 수 도 있지만 가상의 장면일 수도 있겠지요  무슨 말인가 하면 실제로 르포(작가장태영)의 인격이 식물인간으로 이동 한것이 아니라 식물인간과 원래의 장태영 모두 보리스의 각본에 깊게 이입하여 실제로 인격이 이동 되었다고 착각하게 만든 것이라고 영화의 연출이 명확히 보여주고 있습니다  식물인간은 인격이 이동 되었다는 스토리를 마약작용과 함께 굳게 믿음으로 실제로 다시 움직일 수 있게 된것이라고 추측해 봅니다  마치 영화 아이덴티티 23 같이 해리성장애의 굳은 믿음이 신체를 실제로 그렇게 진화시키는 것처럼요  시에스타를 복용하면 죽을 수 밖에 없다는 설정에도 식물인간과 장태영이 살아남은건 그런 원리 일 수 있겠네요  챕터 2 부터는 두개의 인격이 현실에서 대립하게 됩니다  이때  식물인간에서 깨어난 르포 장태영은 깨어난 후 실제 장태영을 찾아가 나를 따라하는 사람은 너라는 이야기를 꾸준히 합니다  이 때 마약껌을 먹이며 장태영의 과거를 언급하는데 실제 장태영은 르포 말대로 해리성장애가 오기전 르포장태영으로 살아 왔고 깡패 장태영으로써 기억하는 과거들은 어느정도 허구임을 추측 할 수 있겠네요  중간에 욕조에서 기억상실증에 관한 이야기를 하며 나는 이겨낸다 라고 중얼거리는 씬이 있는데 르포 장태영은 이때 이를 이겨내지 못하고 마약에 빠져버린 것 같습니다  결국 약에 빠져 죽어 가듯히 살다 스스로 살기위해 깡패 장태용라는 인격을 만들어 내고 그 과정에서 시에스타를 관련해 조사하던 보리스에게 이용당한 것 같고요 (비문의 강간 사건도 보리스와 관계 되어있는 것을 보니)  참고로 보리스는 성동일 가족의 주치의로 카지노 사업과 깡패 사업에도 연관이 있는 인물이었지요 시에스타 마약을 개발하는 정신과 의사였을 꺼라고 추측해봅니다  저는 욕조 씬도 되게 중요한 장면이라 생각하는데 깡패 장태영으로 인격이 바뀐 장태영이 얼음 물 욕조에서 한번 더 들어가 이겨낸다고 중얼거립니다 그 뒤 욕조에서 나온 장태영은 영화 제목처럼 뭐가 맞는지 모르겠는 마약의 환각같은 세상에서부터 리얼, 진짜 현실로 돌아 오게 됩니다 (후반부 혼자 멀쩡함)  유화의 배경은 비문의 ‘내 여자가 강간당했어’ 사건 이후 입원한 병원에서 진통제를 훔치던 유화를 만났다 라면 시기 순서가 딱 맞네요   &lt;영화를 보는 시점&gt;  이 영화에는 상징적인 비유와 인물 관계의 떡밥들이 너무나도 복잡하게 여러번 쓰입니다 하지만 그 많은 의문들을 명쾌히 풀어주고 넘어가는게 거의 한 장면도 없고 계속해서 헷갈리고 정신없게 하지요 김수현의 불친절한 영화다라는 말이 이런 의미였다고 생각하게 되네요  제 생각이지만 이런 난잡한 연출에 대한 감독의 의도라 함은 이 영화의 키워드를 마약에 두었기에 저희도 그러한 마약같은 혼란들을 느낄 수 있도록 영화를 구조하지 않았을까 싶습니다  그러기에 이 영화의 사실관계, 진짜가 뭔지, 이야기의 정확한 이해 라는 것이 사실 중요하다고 생각하지 않습니다 감독이 사실 확실한 이야기의 축을 만들어 놓지 않았을 수도 있겠네요 마지막 김수현의 액션 신처럼 저희도 그저 영화에 화자의 환각을 그대로 보고 있는 걸 수 도 있겠다는 생각이 듭니다  영화는 제목 리얼을 향해 가는 과정이라 생각하되는데 우리는 그 과정속에 진실된 것만을 찾는데 나무 매달리지 않았나 싶습니다   폰으로 막 쓰다보니 안그래도 별로인 글솜씨가 더 그렇겠네요 이해 부탁드립니다",김석현,4,4.756899833679199
...설리보고싶네...,김윤수,3,6.295472145080566
고인의 명복을 빕니다..,점점,5,5.362910747528076
삼가 고인의 명복을 빕니다.,이준서,8,6.673910140991211
암세포들이 암에걸려 디져서 암이치로됬다는게 학계의 전설,yucari20,4,1.078277349472046
한 번 뿐인 당신의 인생을 180도 바꿀수있는 인생역전 세계 최초 발명품입니다  변강쇠처럼 중요한 육봉을 거대하게 키워주는 운동입니다,발명특허 의료운동기구메디사이즈클릭해보세요,3,5.827353000640869
크 110억원인데..... ㅎㄷㄷ하네요,성난오리,6,5.327490329742432
이영화를보면딴영화들이재밌어져요,pic exe,3,5.6095194816589355
암세포가 암에 걸려서 암이 나음,한닝겐,3,1.9026727676391602
