comment,author,num_likes,rate
쿠엔틴스러운 연출 근데 영화같지만 연극같은 느낌 그리고 8명의 배우가 펼치는 연기는 진짜 너무 재미있게 본 작품입니다 온전히 배우의 연기력으로 극을 이끌어간다는게 정말 좋았습니다,안현진,5,8.207019805908203
사무엘잭슨 특유의 말투가 타란티노 영화에 겁나 잘 어울림 ㅋㅋㅋ,spacelion,6,7.869314670562744
개추천한다 이영화,조성준,3,6.242704391479492
초반30분의 지루함만 넘기면 진짜 그 뒤부터 몰입감이...생각보다 흥행이 안되서 아쉬움.,라면먹고싶다,9,7.82919979095459
"이 댓글을 보는 즉시 영상 끄고 다운받으러 가세요 / 리뷰 따위 필요없습니다 그냥 절 믿고 직접 보세요 / 절대 후회 안함 -헤이트풀8 (The Hateful Eight, 2015)",A Ga,8,7.7057576179504395
독 탄 커피부터 줜나재밌어지는데 이전 내용 집중안해서보면 이해안감 첨부터 다봐야함,바쿠맨,89,9.6570463180542
이 영화 개꿀잼이지ㅋㅋㅋㅋ 특히 총맞을때랑 사무엘잭슨이 불알에 총맞을때가 ㄹㅇ개웃김ㅋㅋㅋㅋ,신동규,21,8.606719017028809
"쿠엔틴 타란티노를 좋아하지 않아도, 지루하지않게 몰입감 있게 볼수 있는 영화입니다. 눈보라로 작은 가게에 갇히게 된 여러 인물들의 감정과 사건등이 상당히 흥미롭게 진행됩니다. 인종, 사회, 정치, 이념, 복수 등이 치열하게 얽혀있는 것이 타란티노 영화의 매력 아니겠습니까.",킴후니훈즈,7,6.938894271850586
개인적으로 타란티노영화중 가장 재밌게봤음 리얼 존나재밌다.,멘티지소,42,8.661210060119629
난 이영화 단1초도 지루한적이없던데.. 지금까지 5번정도본듯 먼가 설명하기힘든 최고의 스릴러같음,예슈화나,18,9.01326847076416
메닉스 의외로 믿음직함 ㅋㅋㅋ,엘티한,29,9.538897514343262
무슨영화인줄도모르고 친구랑보러갔는데 조조에와서그런가 보다가 잠들었는데 나중에 다시보니 개재밌었음,Woojin Song,3,8.323681831359863
