comment,author,num_likes,rate
타란티노 정도 되니깐 이런 영화를 만들 생각을 한거죠 그리고 복수를 통한 카타르시스를 의도한 영화가 아니고 등장인물을 전부 체스 말로 활용하여서 서든데스를 보여주는데 이 서든데스를 통한 긴장감과 캐릭터에 대한 활용을 극대화하는데에서 재미를 의도한 영화입니다 수준이 있는 영화고 호불호는 있지만 발새님이 완전 만족하지 못했다는건 의아하네요 . 극본의 재미를 영화로 정말 잘 옮긴 케이스이고 최고의 배우들에게 마음 껏 뛰 놀 수 있는 최고의 환경과 치밀한 설정과 서스펜스로 영화를 정말 재밌게 봤는데 발새님은 포커스를 단순히 복수와 폭력의 카타르시스에 맞춘게 아닌가 싶네요 하지만 각자의 취향이나 관점은 존중합니다,미,13,7.2324137687683105
저는 재밌게 봤네요 바스터즈부터 느낀거지만 타란티노 영화는 액션보단 대사가 포인트라서요,jang go,5,8.410609245300293
진짜 재미있었어 쿠엔틴 타란티노 최고여,권태형,3,8.668424606323242
음 전 별로 공감이 안가는 리뷰입니다.. 전반부가 지루하다니.. 근데 지루했다는 사람 많긴 하더라구요 ㅎㅎ,morenewfun,25,7.012392044067383
끝나고도 사무엘잭슨의 하반신이 계속 걱정됨,Rkid,42,7.148864269256592
거기서 나와 고환저격수.. 이 한마디로 끝 덧붙여 서스펜스는 죽여준다.. 잘만든 영화다!!! 레버넌트와 연달아 봤는데 레버넌트는 잊혀졌다 미안하다..,야채핫바,3,8.952542304992676
감독보다 배우에게 감탄했던 영화인듯 ㅠㅠ 그래서 좀 아쉽!,Pill-lip Moon,3,7.517221927642822
"안녕하세요 발새님 열혈 구독자입니다.  아무래도 이번 타란티노아재의 작품은 야! 니들 솔직히 내 수다씬 좋아하잖아 ㅋ, 이번엔 그것만 모아봤어 ㅋ 은퇴하기전에 이런것도 한번 만들어봐야지 ㅋ라는 생각이 영화관을 나가는 저에게 말하는거 같더군요...  아무래도 타란티노아재를 모르는 사람이라면 친구랑도 보러가기에도 껄끄럽더군요...  발새님 말처럼 진짜 수다가 너무 많아서...   이 작품은 대박 히트를 치려는 상업적 영화보다는 그냥 영화 역사에 있어서 타란티노 말빨의 극치로 남기려는 하나의 유산과도 같다는 생각이 듭니다.    아님 말고",싸장ssajang,11,5.97452974319458
"그래도 타란티노 영화 중에서는 스토리와 관련성이 있는 수다들로 채워져 있어서 개인적으로 지루하다는 느낌은 없었습니다. 잡화점 도착한 후부터는 뭔가 심상치 않다는 느낌을 여기저기에서 받을 수 있어서 긴장감도 점점 고조되기도 했구요. 나름의 추리하는 재미, 상황에 따라 이쪽 저쪽으로 붙는 캐릭터를 보는 재미가 있었네요.  국내에 2.76:1의 스크린으로 상영한 곳이 있는지 모르겠지만, 레터박스가 포함된 스크린으로 보게 되서 아쉬웠습니다. 그리고 미국에서는 옛 영화 느낌을 주기위해(?) 중간에 인터미션도 있다고 하던데... 아무튼 영화 내용보단 외적으로 아쉬움이 있었습니다.",paranoeaa,7,7.49838924407959
방금 보고왔는데 거의 3시간되는 영화인데도 여러모로 지루할틈이 전혀없었네요.. 와,seunghun Yang,17,8.406137466430664
