comment,author,num_likes,rate
심형래랑 같이 회의실에 있던 외국인들은 회의 끝나고 담배 겁나게 폈을것 같다 ㅋㅋㅋㅋ,Jung Hwan Shin,4,7.37883186340332
진짜 극장에서 이걸 본사람으로써 보면서도 이게 뭐지? 뭔 개똥같은 전개지? 하면서 같이 간 사람에게 너무 미안했어요. 부끄럽고...ㅋㅋㅋㅋ 다시 보느라 고생하셧어요.,홍성균,7,2.537015914916992
아니 ㅋㅋㅋ 영화보다 이게 더 재밋으면 어떻해 ㅋㅋㅋㅋ,ggxxslash1,3,5.38101863861084
저 영화 상영할 때 12살 이었음. 부모님이 요즘 인기 많다고 같이 보러가자고 했는데 무한도전 본다고 끝까지 안 간다고 했음. 그래서 나만 놔두고 가족들은 다 보러감. 그때 나의 통찰력 리스펙,K B,7,7.458086013793945
초월적인 영역이라니 진정 초월한 고수가 되면 초식의 틀에서 벗어나는건가요!,spear West,3,8.928875923156738
저때 친구가 보러가자해서 나왔을때 둘다 멋쩍게 말없이 걸어나오면서 어...그래 마지막 전투씬은 쩔더라 ... 어...그래.. 던게 생각이나네요 둘다 속으론 아이고 내돈....,황민철,4,1.1761724948883057
극한직업이 따로없네요...;; 7망작 리뷰를 위해 저 똥같은 영화들을 여러번 돌려봤을 라이너님의 고통에 묵념....ㅠㅠ,까마귀,4,4.024587154388428
불쌍한 영구형,XX,4,3.481724977493286
이게 뭐라고 2부까짘ㅋㅋㅋ,박건우,3,3.762681245803833
"난 영화 평론가가 좋은 시나리오나 영화를 만들었다는 얘기를 들어본 적이 없다. 영화를 비평하고 까기는 쉽다. 그건 유치원생도 할 수 있으니까 말이다.  하지만 그 영화가 엉터리라도, 한 편의 영화를 만들기는 무척 어렵다. 물론, 심형래 감독이 부족했던 점이 많다는 것은 인정한다. 하지만 그가 주변의 무시와 폄하를 극복하고, 개그맨으로서 한 편의 영화를 완성했다는 것은 평가할 만하다.  당신들이 한 편의 영화를 까기 전에, 우선 엉터리라도 한 편의 극장용 장편 시나리오를 완성해 보라고 말하고 싶다. 아마 대부분은 며칠 못 가서 두 손 두 발 다 들고 말 것이다.  인풋과 아웃풋은 다른 차원의 문제다. 안다고 해서, 모두 행할 수 있는 것이 아니기 때문이다. 중요한 것은 명작을 만드는 것이 아니라 시도하는 것이다.  평생 아무런 결과물도 만들어내지 못하는 사람들이 대부분이다. 시도조차 안 하는 사람들이 대부분이기 때문이다. 심형래 감독이 차라리 이 영화를 찍지 않고,  그 돈으로  부동산 투자를 했다면 오히려 떼돈을 벌었을 것이다.  하지만 그는 적어도 시도했다. 그리고 자신만의 결과물을 만들어냈다. 모두 그의 영화를 욕할지라도, 그는 세상에 결과물을 만들어 놓았다.  아무것도 하지 않는 자들은, 실패나 욕을 먹지도 않지만, 세상에 자취를 남기지도 못한다. 또한 세상에 아무런 영향도 미치지 못한다. 심형래 감독은 시도하고 결과물을 내놓았으며, 세상에 자신의 자취를 남겼다.",빅나(vicna),3,0.703931987285614
"대한민국 문화, 특히 영상 콘텐츠에 대한 담론을 말하는데 최근 조선구마사와 중국에 대한 이야기가, 또 생각이 궁금한데, 다뤄주실 수 있는지 궁금하네요",jsyun9496,4,6.653323173522949
마지막 아리랑 BGM없이.....반전 😱,RIYO ITO,3,6.52490758895874
