comment,author,num_likes,rate
???: 이것은 절대 1점이 아니다 11점을 주고 싶은 내 마음이다,Lil Jam,4,0.8758527040481567
재밌당,YK Choi,3,8.553412437438965
왜 리뷰도 괴로운거지?,Ho Chu,7,3.187703847885132
"10년동안 만나 결혼을 약속한 여친과 클레멘타인을 본 후, 우린 완벽한타인이 되어있었다..",kay-yay Yippie,209,6.044373989105225
네이버 댓글평 중 과반 이상은 영화를 안봤다 ㅋㅋㅋ,Siheon Seong,3,7.321614742279053
세상에 이 영화가 살인의 추억보다 1년 늦게 나온 영화라니... 너무 구려서 1980년에 만들어졌다 해도 믿겠네,이뀨꺄,4,3.39947509765625
바지컷 시발ㅋㅋㅋ 저게 초등학교 1학년 여자애 앞에서 할 말이냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케,맛스타,5,3.1906747817993164
무명 스티븐 시걸을 할리우드스타로 만들어준 영화.,이재우,7,3.6667518615722656
아직도 겁나서 클레멘타인을 못보고 있음,오뚜기스프,171,2.0612974166870117
군대에서 일요일에 비디오로 빌려봤는데 이거보고  빌려오는 애가 일병이었는데 대가리 박았음 ㅋㅋㅋㅋㅋ,james park,295,0.575589656829834
지금 나오는 영화들에 비하면 이 영화는             명작 대열에 발을 살짝 놓아도 손색이 없다.ㅋㅋ,박준협,3,8.469196319580078
마지막에 빵터짐ㅋㅋㅋㄱㅋㄱ 카페베넠ㅋㅋㅋㅋㅋ,안스리움,3,8.30656623840332
애 앞이빨 두 개에다 나무 두개 꽂은 장면 보고 숨 멎을 뻔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Unity,44,4.944271564483643
딸이 아버지 바지벗기려고 할때 ㅆㅂ 뭔영환가 싶었네,호롤롤로,185,8.360124588012695
볼 거 없을 때 이 리뷰 보니까 재밌네 ㅋㅋ,서재원,12,8.409111022949219
6만명의 관객은 어쩌면 혼자본 것이 억울한  논개같은 것이 아닐지..,m m,6,6.381052494049072
김보성ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋㅌㅋㅋㅋㅋㅌㅋㅋ,누유,17,5.263527870178223
Birth 의 B 와 Death 의 D 사이에는 C Clementine이 있다,시무룩고양이,3,6.654940128326416
1994년작인줄 알았는데..,이정훈,8,6.612429141998291
경건한 마음으로 봤다가 빵터지는 장면이 한두번이 아니라서 실소터졌네요ㅋㅋ 편집진짜...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,jazz meup,7,3.3637125492095947
댓글들 와중에 B와 D 사이의 Clementine 미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,상욱이,140,2.6814346313476562
???: 이영화를 보고 암이 나앗습니다 암이 암에 걸렷거든요,조hyun gn,10,2.853579521179199
리얼: 죽여줘...,Haeeun Ui,3,8.866592407226562
52억으로  스태프들한테 삼겹살 사줌,1 1,143,2.661177158355713
"공무원증은 일부러 거꾸로 들수도 있지.....그리고,  국민 드라마인 야인시대 무시하냐???ㅋ 그리고, 드라마나 영화...죄다 우연아니냐?? 삐딱하게 보려고 애쓰니....사사건건 트집잡네 ㅋ",h lucky,4,3.1837286949157715
라이너님 예전에 와우 스토리 정리때부터 잘보고갑니다. 편집기술이..정말넘사벽..,김동성,3,9.318657875061035
주인공이 전국 사투리를 다 구사하네요 ㅋㅋㅋ 전라도 경상도 서울말까지 ㅋㅋㅋㅋ,정태호,127,7.071264743804932
ㅋㅋㅋ 이러니 암들이 죽지 ㅋㅋㅋㅋ,YK Ko,4,3.926752805709839
다웃긴데 사랑이이빨진짜웃기다ㅋㅋㅋㅋ,이초리촐,22,7.852919101715088
"얼마나 깔 게 많으면 1,2부로 나눠져 있는 거지...",영,27,7.693166732788086
아 제목만봐도 넘웃겨ㅋㄱㅋㄱ,에피타이저,4,5.723555564880371
드디어... 마침내.... 시작되었다. 대장정이..,조승현planito,3,8.146679878234863
"아니 저 7개 중에 관객수 5,987명에 빛나는 영웅: 샐러맨더의 비밀 이 없다고? 어 으리가 없네 ㅉㅉ",유튜브수사대,5,1.2349814176559448
도대체 애가 왜 바지를 벗기는거야,cream dollar,44,3.1848208904266357
당신 미쳤어? 당신이 이  거룩한 걸작을 리뷰할  자격이 된다고 생각해?,푸르메흑염소,383,7.6165056228637695
말년병장때  외박나와서 부산의  어느 독립극장서 관람한 사람입니딘. 당시 이 영화를보고  엄청 실망했지만 지금에 와서는 이 영화를 극장서 본것이 이렇게 큰 자부심이 될줄 누가 알았겠습니까. ㅋ,호러자식,1042,7.113434791564941
영화는 망작 리뷰는 명작,반바스텐,6,3.67468523979187
사랑이 앞니에 나무 두 그루까지 심어주시고 완전 빵 터져서 한참 웃었네요ㅋㅋ나무를 신경쓰다 숲을 놓쳐서는 안되죠^^,이미경,3,8.593366622924805
와... 이렇게 끊는다니... 잔인하신분..ㅜㅜ 2부 기다리고 있을게요,아란,3,5.567687034606934
대단한 영화로군요,김문한,3,6.998676776885986
부관참시 ㅠㅠ,Bass를 모에화,3,2.1552507877349854
라이너님 썸네일보고 공포가 밀려왔지만 클릭하고 들어왔습니다. 끝까지 보겠습니다 주화입마가 오더라도...,진성챈덕,7,4.582017421722412
아니!? 2부가 있다니! 띠용(클로즈업),se Ree,3,3.1854286193847656
신 - 성 - 모 - 독,러프로짝사랑.,3,4.445504188537598
라이너님! 이번 리뷰 정말 미친듯이 웃으며 봤네요!,AMERICAN DRIVER 4K,4,9.065511703491211
"&lt;흔한 망작이라면 이런 놀이가 생길 리가 없습니다.&gt;  김성모의 돌아온 럭키짱 생각나네... 1점 수호대, 덧글놀이..",이언,14,0.0
리뷰만 봤을뿐인데 주화입마에 빠져버렸다,김지환,14,1.7128493785858154
애초에 사랑의 미래를 생각한다면  더러워도 경찰은 계속 했어야지😒,김재홍,4,6.760514736175537
무명 스턴트 배우였던 스티븐 시걸을 세계적인 스타의 반열에 오르게한 명작. 이라네요,jinni Jun,211,5.868112087249756
